epoch_id,train_serial,train_loss,train_miou,train_iou1,train_iou2,train_iou3,train_elapsed_time,val_loss,val_miou,val_iou1,val_iou2,val_iou3,val_elapsed_time
0,20221113_230020,0.18384252562122202,0.018602093453569477,0.8450222839857622,0.9102225420665796,0.09866502487103711,1541.2,0.233516918917497,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,337.5
1,20221113_230020,0.15039958941896622,0.03158822173457046,0.8674749163879626,0.9320652173913081,0.10619321883602402,1538.6,0.17657112037142117,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,338.4
2,20221113_230020,0.15946003590339802,0.01952267743653276,0.8675794314381298,0.9321697324414756,0.10350789999122106,1539.6,0.21690494775772096,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,337.0
3,20221113_230020,0.17324748240336527,0.0013429473285911635,0.8674749163879624,0.9322742474916419,0.11505535236840823,1536.4,0.1866622597972552,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,337.9
4,20221113_230020,0.18796317170944102,0.0004180605013693327,0.8677884615384641,0.9321697324414749,0.11684782613004048,1536.7,0.22238884309927623,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,338.0
5,20221113_230020,0.1897114592053021,0.00041806050184165964,0.8677884615384635,0.9321697324414754,0.1166387960246889,1540.3,0.19932374874750772,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,337.5
6,20221113_230020,0.19057812728610724,0.00041806050086564675,0.8675794314381299,0.9320652173913085,0.11695234118870476,1536.0,0.19456550767024358,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,337.7
7,20221113_230020,0.19038079140776376,0.00041806050105759265,0.8675794314381294,0.9321697324414754,0.11695234118838391,1538.7,0.20534646679957708,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,340.1
8,20221113_230020,0.19012430666581445,0.00041806050131666856,0.8676839464882956,0.9321697324414752,0.11695234117444056,1539.3,0.20243771860996881,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,338.4
9,20221113_230020,0.1891698007375301,0.000418060501515605,0.867579431438129,0.9322742474916427,0.11695234117863641,1538.5,0.19373083144426345,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,337.1
10,20221113_230020,0.18944719099878865,0.00041806050131873066,0.8675794314381287,0.9321697324414752,0.11695234117886605,1535.7,0.18881071458260218,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,339.1
11,20221113_230020,0.18813503386583616,0.0004180605013680506,0.8675794314381288,0.9320652173913077,0.11705685622700651,1539.1,0.2019485025604566,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,339.1
12,20221113_230020,0.18755648150591547,0.00041806050128625544,0.8677884615384642,0.9320652173913084,0.11684782613188328,1538.5,0.19325821270545324,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,337.9
13,20221113_230020,0.18812323588392008,0.0004180605008286038,0.8677884615384642,0.9321697324414749,0.11684782612764168,1535.5,0.2417322743932406,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,337.8
14,20221113_230020,0.18822236381545912,0.0004180605017911444,0.8675794314381285,0.9321697324414745,0.11705685622332371,1539.3,0.20447093983491263,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,339.5
15,20221113_230020,0.1898334906452077,0.00041806050151318416,0.8675794314381284,0.932169732441475,0.11695234117869184,1537.8,0.2583236300945282,3.0671830408834925e-10,0.8615151516596479,0.9381439395745602,0.11102272734186318,337.9
